ID	TOKENS	PROTOFORM	IPA	COUNTERPART	COGIDS	DOCULECT	NOTE	STRUCTURE	BORROWING	CONCEPT	PROTO	GLOSSID
510	ɑ d ə r	*nadrō	ɑɑdər	adder	139	Dutch				adder	*nadrō	1
509	æ d ə	*nadrō	ædə	adder	139	English				adder	*nadrō	1
1933	n ǣ d r e	*nadrō	ædə	nǣdre	139	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			adder	*nadrō	1
508	ɔ t ə r	*nadrō	ɔtər	Otter	139	German				adder	*nadrō	1
1431	b ɑ k ə	*bakăną	bɑkə	bakken	391	Dutch				bake	*bakăną	2
1430	b eɪ k	*bakăną	beɪk	bake	391	English				bake	*bakăną	2
1934	b a c a n	*bakaną	beɪk	bacan	391	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh) | Proto encoding: -aną (full vowel) for A-restoration; R/T §6.3.1			bake	*bakaną	2
1429	b a k ə n	*bakăną	bakən	backen	391	German	BOR	C V c v c		bake	*bakăną	2
314	b ɑ l	*balluz	bɑl	bal	87	Dutch				ball	*balluz	3
313	b ɔː l	*balluz	bɔːl	ball	87	English				ball	*balluz	3
1935	* b e a l l	*balluz	bɔːl	-	87	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh) | Unattested OE; reconstructed *beall.			ball	*balluz	3
312	b a l	*balluz	bal	Ball	87	German		C V C		ball	*balluz	3
521	b ɑ n	*banną	bɑn	ban	142	Dutch				ban	*banną	4
520	b æ n	*banną	bæn	ban	142	English				ban	*banną	4
1936	b a n n	*banną	bæn	bann	142	Old_English	TSV: bannan (verb inf.) → bann (noun, masc. a-stem nom.sg.); *banną is neut./masc. a-stem			ban	*banną	4
519	b a n	*banną	ban	Bann	142	German		C V C		ban	*banną	4
221	b ɛ r x	*bergą	bɛrx	berg	61	Dutch				barrow	*bergą	5
220	b æ r əʊ	*bergą	bærəʊ	barrow	61	English				barrow	*bergą	5
1937	b e o r g	*bergą	bærəʊ	beorg	61	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			barrow	*bergą	5
219	b ɛ r k	*bergą	bɛrk	Berg	61	German				barrow	*bergą	5
1634	b ɑ s t	*bastą	bɑst	bast	448	Dutch				bast	*bastą	6
1633	b æ s t	*bastą	bæst	bast	448	English				bast	*bastą	6
1938	b æ s t	*bastą	bæst	bæst	448	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bast	*bastą	6
1632	b a s t	*bastą	bast	Bast	448	German		C V C C		bast	*bastą	6
1313	b ɑ t	*baθą	bɑt	bad	360	Dutch				bath	*baθą	7
1312	b ɑː θ	*baθą	bɑːθ	bath	360	English				bath	*baθą	7
1939	b æ þ	*baθą	bɑːθ	bæþ	360	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bath	*baθą	7
1311	b aː d	*baθą	baːt	Bad	360	German				bath	*baθą	7
1177	b aː r t	*bardăz	baːrt	baard	322	Dutch				beard	*bardăz	8
1176	b ɪə d	*bardăz	bɪəd	beard	322	English				beard	*bardăz	8
1940	b e a r d	*bardăz	bɪəd	beard	322	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			beard	*bardăz	8
1175	b aː r t	*bardăz	baːrt	Bart	322	German		C V C C		beard	*bardăz	8
1854	b eː v ə r	*bebruz	beːvər	bever	508	Dutch				beaver	*bebruz	9
1853	b iː v ə	*bebruz	biːvə	beaver	508	English				beaver	*bebruz	9
1941	b e f e r	*bebruz	biːvə	befer	508	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			beaver	*bebruz	9
1852	b iː b ə r	*bebruz	biːbər	Biber	508	German				beaver	*bebruz	9
1865	b øː k ə b oː m	*bōkō	bøːkəboːm	beukeboom	511	Dutch				beech	*bōkō	10
1864	b iː ʧ	*bōkō	biːʧ	beech	511	English				beech	*bōkō	10
1942	b ō c	*bōkō	biːʧ	bōc	511	Old_English	Kroonen *bōk(j)ō- f. > OE bōc (nom.sg.); bēċe is oblique form			beech	*bōkō	10
1863	b uː x ə	*bōkō	buːxə	Buche	511	German				beech	*bōkō	10
1154	b ə ɣ ɪ n ə	*biginnăną	bəɣɪnə	beginnen	316	Dutch				begin	*biginnăną	11
